종목명,현재가,대비,대비(%),거래량,L(일봉)H,종목코드,거래량 (G),거래대금(만원) (H),매출액 영업이익률(%) (L),결산기준 (L),매출액 순이익률(%) (M),결산기준 (M),매출액(백만원) (A1),결산기준 (A1),매출액(백만원) (B1),결산기준 (B1),매출액(백만원) (C1),결산기준 (C1)
진양산업,"4,385",20,0.46,"798,915",0.46,A003780,"798,915","343,873",14.78,Dec-19,11.03,Dec-19,"61,838",Dec-19,"59,350",Dec-18,"44,821",Dec-17
보령제약,"20,600",400,1.98,"643,434",1.98,A003850,"643,434","1,303,869",7.45,Dec-19,6.15,Dec-19,"524,268",Dec-19,"460,401",Dec-18,"422,721",Dec-17
롯데정밀화학,"51,300",-500,-0.97,"68,955",-0.97,A004000,"68,955","351,226",14.46,Dec-19,12.84,Dec-19,"1,311,271",Dec-19,"1,371,695",Dec-18,"1,159,511",Dec-17
신세계,"294,500","2,500",0.86,"164,541",0.86,A004170,"164,541","4,809,188",7.32,Dec-19,9.28,Dec-19,"6,394,223",Dec-19,"5,185,683",Dec-18,"3,871,416",Dec-17
세방전지,"84,400","-1,000",-1.17,"189,553",-1.17,A004490,"189,553","1,569,675",9.28,Dec-19,6.89,Dec-19,"1,139,007",Dec-19,"1,180,886",Dec-18,"1,111,084",Dec-17
한국가구,"5,770",-180,-3.03,"367,860",-3.03,A004590,"367,860","215,049",13.24,Dec-19,9.24,Dec-19,"65,652",Dec-19,"60,244",Dec-18,"54,766",Dec-17
동진쎄미켐,"30,500",-100,-0.33,"373,628",-0.33,A005290,"373,628","1,122,070",11.98,Dec-19,6.71,Dec-19,"875,254",Dec-19,"827,231",Dec-18,"785,154",Dec-17
푸드웰,"7,090",50,0.71,"45,793",0.71,A005670,"45,793","31,989",5.96,Dec-19,22.22,Dec-19,"143,937",Dec-19,"123,789",Dec-18,"116,866",Dec-17
파미셀,"16,650",550,3.42,"2,017,022",3.42,A005690,"2,017,022","3,356,544",6.05,Dec-19,13.38,Dec-19,"32,481",Dec-19,"28,351",Dec-18,"25,197",Dec-17
대한해운,"3,440",160,4.88,"42,116,076",4.88,A005880,"42,116,076","14,651,091",12.81,Dec-19,10.05,Dec-19,"1,005,657",Dec-19,"1,284,595",Dec-18,"1,526,446",Dec-17
삼성전자,"82,100",-300,-0.36,"20,508,971",-0.36,A005930,"20,508,971","167,760,286",15.2,Dec-20,11.15,Dec-20,"236,806,988",Dec-20,"230,400,881",Dec-19,"243,771,415",Dec-18
화승인더,"8,090",20,0.25,"510,468",0.25,A006060,"510,468","407,476",7.96,Dec-19,5.67,Dec-19,"1,425,876",Dec-19,"1,111,909",Dec-18,"1,151,943",Dec-17
제주은행,"8,850",-160,-1.78,"21,042,475",-1.78,A006220,"21,042,475","20,096,062",15.47,Dec-19,11.61,Dec-19,"240,435",Dec-19,"224,542",Dec-18,"208,661",Dec-17
